vert_label,category,finish,source_label,quantity,eur,dkk_base,tier_multiplier,dkk_final
115g,standard,Gloss,115g hochwertiger Qualitätsdruck glänzend,50,29.62,222.15,1.6,355
115g,standard,Gloss,115g hochwertiger Qualitätsdruck glänzend,100,32.06,240.45,1.6,385
115g,standard,Gloss,115g hochwertiger Qualitätsdruck glänzend,250,36.71,275.325,1.6,441
115g,standard,Gloss,115g hochwertiger Qualitätsdruck glänzend,500,39.7,297.75,1.6,476
115g,standard,Gloss,115g hochwertiger Qualitätsdruck glänzend,1000,41.25,309.375,1.6,495
115g,standard,Gloss,115g hochwertiger Qualitätsdruck glänzend,1500,58.92,441.9,1.6,707
115g,standard,Gloss,115g hochwertiger Qualitätsdruck glänzend,2000,64.42,483.15,1.6,773
115g,standard,Gloss,115g hochwertiger Qualitätsdruck glänzend,2500,67.96,509.7,1.6,816
115g,standard,Gloss,115g hochwertiger Qualitätsdruck glänzend,3000,75.06,562.95,1.6,901
115g,standard,Gloss,115g hochwertiger Qualitätsdruck glänzend,4000,88.9,666.75,1.6,1067
115g,standard,Gloss,115g hochwertiger Qualitätsdruck glänzend,5000,103.16,773.7,1.6,1238
115g,standard,Gloss,115g hochwertiger Qualitätsdruck glänzend,6000,123.83,928.725,1.6,1486
115g,standard,Gloss,115g hochwertiger Qualitätsdruck glänzend,7000,143.58,1076.85,1.6,1723
115g,standard,Gloss,115g hochwertiger Qualitätsdruck glänzend,8000,164.85,1236.375,1.6,1978
115g,standard,Gloss,115g hochwertiger Qualitätsdruck glänzend,9000,185.47,1391.025,1.6,2226
115g,standard,Gloss,115g hochwertiger Qualitätsdruck glänzend,10000,205.23,1539.225,1.6,2463
115g,standard,Gloss,115g hochwertiger Qualitätsdruck glänzend,15000,295.84,2218.8,1.5,3328
115g,standard,Gloss,115g hochwertiger Qualitätsdruck glänzend,20000,401.73,3012.975,1.5,4519
115g,standard,Matt,115g hochwertiger Qualitätsdruck matt,50,29.68,222.6,1.6,356
115g,standard,Matt,115g hochwertiger Qualitätsdruck matt,100,32.01,240.075,1.6,384
115g,standard,Matt,115g hochwertiger Qualitätsdruck matt,250,36.83,276.225,1.6,442
115g,standard,Matt,115g hochwertiger Qualitätsdruck matt,500,39.74,298.05,1.6,477
115g,standard,Matt,115g hochwertiger Qualitätsdruck matt,1000,41.9,314.25,1.6,503
115g,standard,Matt,115g hochwertiger Qualitätsdruck matt,1500,58.47,438.525,1.6,702
115g,standard,Matt,115g hochwertiger Qualitätsdruck matt,2000,64.46,483.45,1.6,774
115g,standard,Matt,115g hochwertiger Qualitätsdruck matt,2500,68.52,513.9,1.6,822
115g,standard,Matt,115g hochwertiger Qualitätsdruck matt,3000,75.74,568.05,1.6,909
115g,standard,Matt,115g hochwertiger Qualitätsdruck matt,4000,89.3,669.75,1.6,1072
115g,standard,Matt,115g hochwertiger Qualitätsdruck matt,5000,102.66,769.95,1.6,1232
115g,standard,Matt,115g hochwertiger Qualitätsdruck matt,6000,123.47,926.025,1.6,1482
115g,standard,Matt,115g hochwertiger Qualitätsdruck matt,7000,144.34,1082.55,1.6,1732
115g,standard,Matt,115g hochwertiger Qualitätsdruck matt,8000,164.68,1235.1,1.6,1976
115g,standard,Matt,115g hochwertiger Qualitätsdruck matt,9000,185.37,1390.275,1.6,2224
115g,standard,Matt,115g hochwertiger Qualitätsdruck matt,10000,205.2,1539,1.6,2462
115g,standard,Matt,115g hochwertiger Qualitätsdruck matt,15000,295.81,2218.575,1.5,3328
115g,standard,Matt,115g hochwertiger Qualitätsdruck matt,20000,402.07,3015.525,1.5,4523
135g,standard,Gloss,135g hochwertiger Qualitätsdruck glänzend,50,17.71,132.825,1.6,213
135g,standard,Gloss,135g hochwertiger Qualitätsdruck glänzend,100,25.29,189.675,1.6,303
135g,standard,Gloss,135g hochwertiger Qualitätsdruck glänzend,250,27.17,203.775,1.6,326
135g,standard,Gloss,135g hochwertiger Qualitätsdruck glänzend,500,35.02,262.65,1.6,420
135g,standard,Gloss,135g hochwertiger Qualitätsdruck glänzend,1000,42.9,321.75,1.6,515
135g,standard,Gloss,135g hochwertiger Qualitätsdruck glänzend,1500,58.48,438.6,1.6,702
135g,standard,Gloss,135g hochwertiger Qualitätsdruck glänzend,2000,65.75,493.125,1.6,789
135g,standard,Gloss,135g hochwertiger Qualitätsdruck glänzend,2500,72.55,544.125,1.6,871
135g,standard,Gloss,135g hochwertiger Qualitätsdruck glänzend,3000,79.72,597.9,1.6,957
135g,standard,Gloss,135g hochwertiger Qualitätsdruck glänzend,4000,95.43,715.725,1.6,1145
135g,standard,Gloss,135g hochwertiger Qualitätsdruck glänzend,5000,110.18,826.35,1.6,1322
135g,standard,Gloss,135g hochwertiger Qualitätsdruck glänzend,6000,130.81,981.075,1.6,1570
135g,standard,Gloss,135g hochwertiger Qualitätsdruck glänzend,7000,152.11,1140.825,1.6,1825
135g,standard,Gloss,135g hochwertiger Qualitätsdruck glänzend,8000,172.43,1293.225,1.6,2069
135g,standard,Gloss,135g hochwertiger Qualitätsdruck glänzend,9000,192.14,1441.05,1.6,2306
135g,standard,Gloss,135g hochwertiger Qualitätsdruck glänzend,10000,210.84,1581.3,1.6,2530
135g,standard,Gloss,135g hochwertiger Qualitätsdruck glänzend,15000,304.72,2285.4,1.5,3428
135g,standard,Gloss,135g hochwertiger Qualitätsdruck glänzend,20000,398.19,2986.425,1.5,4480
135g,standard,Matt,135g hochwertiger Qualitätsdruck matt,50,16.55,124.125,1.6,199
135g,standard,Matt,135g hochwertiger Qualitätsdruck matt,100,22.72,170.4,1.6,273
135g,standard,Matt,135g hochwertiger Qualitätsdruck matt,250,25.59,191.925,1.6,307
135g,standard,Matt,135g hochwertiger Qualitätsdruck matt,500,31.69,237.675,1.6,380
135g,standard,Matt,135g hochwertiger Qualitätsdruck matt,1000,40.33,302.475,1.6,484
135g,standard,Matt,135g hochwertiger Qualitätsdruck matt,1500,52.83,396.225,1.6,634
135g,standard,Matt,135g hochwertiger Qualitätsdruck matt,2000,59.68,447.6,1.6,716
135g,standard,Matt,135g hochwertiger Qualitätsdruck matt,2500,65.81,493.575,1.6,790
135g,standard,Matt,135g hochwertiger Qualitätsdruck matt,3000,73.5,551.25,1.6,882
135g,standard,Matt,135g hochwertiger Qualitätsdruck matt,4000,89.11,668.325,1.6,1069
135g,standard,Matt,135g hochwertiger Qualitätsdruck matt,5000,105.44,790.8,1.6,1265
135g,standard,Matt,135g hochwertiger Qualitätsdruck matt,6000,122.34,917.55,1.6,1468
135g,standard,Matt,135g hochwertiger Qualitätsdruck matt,7000,138.95,1042.125,1.6,1667
135g,standard,Matt,135g hochwertiger Qualitätsdruck matt,8000,156.34,1172.55,1.6,1876
135g,standard,Matt,135g hochwertiger Qualitätsdruck matt,9000,172.61,1294.575,1.6,2071
135g,standard,Matt,135g hochwertiger Qualitätsdruck matt,10000,189.84,1423.8,1.6,2278
135g,standard,Matt,135g hochwertiger Qualitätsdruck matt,15000,275.2,2064,1.5,3096
135g,standard,Matt,135g hochwertiger Qualitätsdruck matt,20000,359.61,2697.075,1.5,4046
170g,standard,Gloss,170g hochwertiger Qualitätsdruck glänzend,50,19.82,148.65,1.6,238
170g,standard,Gloss,170g hochwertiger Qualitätsdruck glänzend,100,26.43,198.225,1.6,317
170g,standard,Gloss,170g hochwertiger Qualitätsdruck glänzend,250,32.52,243.9,1.6,390
170g,standard,Gloss,170g hochwertiger Qualitätsdruck glänzend,500,40.19,301.425,1.6,482
170g,standard,Gloss,170g hochwertiger Qualitätsdruck glänzend,1000,51.1,383.25,1.6,613
170g,standard,Gloss,170g hochwertiger Qualitätsdruck glänzend,1500,67.32,504.9,1.6,808
170g,standard,Gloss,170g hochwertiger Qualitätsdruck glänzend,2000,75.88,569.1,1.6,911
170g,standard,Gloss,170g hochwertiger Qualitätsdruck glänzend,2500,83.6,627,1.6,1003
170g,standard,Gloss,170g hochwertiger Qualitätsdruck glänzend,3000,94.85,711.375,1.6,1138
170g,standard,Gloss,170g hochwertiger Qualitätsdruck glänzend,4000,116.34,872.55,1.6,1396
170g,standard,Gloss,170g hochwertiger Qualitätsdruck glänzend,5000,138.32,1037.4,1.6,1660
170g,standard,Gloss,170g hochwertiger Qualitätsdruck glänzend,6000,161.36,1210.2,1.6,1936
170g,standard,Gloss,170g hochwertiger Qualitätsdruck glänzend,7000,185.27,1389.525,1.6,2223
170g,standard,Gloss,170g hochwertiger Qualitätsdruck glänzend,8000,208.47,1563.525,1.6,2502
170g,standard,Gloss,170g hochwertiger Qualitätsdruck glänzend,9000,231.45,1735.875,1.6,2777
170g,standard,Gloss,170g hochwertiger Qualitätsdruck glänzend,10000,254.53,1908.975,1.6,3054
170g,standard,Gloss,170g hochwertiger Qualitätsdruck glänzend,15000,366.91,2751.825,1.5,4128
170g,standard,Gloss,170g hochwertiger Qualitätsdruck glänzend,20000,488.07,3660.525,1.5,5491
170g,standard,Matt,170g hochwertiger Qualitätsdruck matt,50,19.51,146.325,1.6,234
170g,standard,Matt,170g hochwertiger Qualitätsdruck matt,100,24.61,184.575,1.6,295
170g,standard,Matt,170g hochwertiger Qualitätsdruck matt,250,29.86,223.95,1.6,358
170g,standard,Matt,170g hochwertiger Qualitätsdruck matt,500,37.53,281.475,1.6,450
170g,standard,Matt,170g hochwertiger Qualitätsdruck matt,1000,49.68,372.6,1.6,596
170g,standard,Matt,170g hochwertiger Qualitätsdruck matt,1500,65.95,494.625,1.6,791
170g,standard,Matt,170g hochwertiger Qualitätsdruck matt,2000,74.68,560.1,1.6,896
170g,standard,Matt,170g hochwertiger Qualitätsdruck matt,2500,82.22,616.65,1.6,987
170g,standard,Matt,170g hochwertiger Qualitätsdruck matt,3000,92.86,696.45,1.6,1114
170g,standard,Matt,170g hochwertiger Qualitätsdruck matt,4000,114.68,860.1,1.6,1376
170g,standard,Matt,170g hochwertiger Qualitätsdruck matt,5000,136.35,1022.625,1.6,1636
170g,standard,Matt,170g hochwertiger Qualitätsdruck matt,6000,158.53,1188.975,1.6,1902
170g,standard,Matt,170g hochwertiger Qualitätsdruck matt,7000,181.65,1362.375,1.6,2180
170g,standard,Matt,170g hochwertiger Qualitätsdruck matt,8000,203.97,1529.775,1.6,2448
170g,standard,Matt,170g hochwertiger Qualitätsdruck matt,9000,227.48,1706.1,1.6,2730
170g,standard,Matt,170g hochwertiger Qualitätsdruck matt,10000,250.33,1877.475,1.6,3004
170g,standard,Matt,170g hochwertiger Qualitätsdruck matt,15000,361.06,2707.95,1.5,4062
170g,standard,Matt,170g hochwertiger Qualitätsdruck matt,20000,480.98,3607.35,1.5,5411
250g,standard,Gloss,250g hochwertiger Qualitätsdruck glänzend,50,18.4,138,1.6,221
250g,standard,Gloss,250g hochwertiger Qualitätsdruck glänzend,100,29.6,222,1.6,355
250g,standard,Gloss,250g hochwertiger Qualitätsdruck glänzend,250,34.4,258,1.6,413
250g,standard,Gloss,250g hochwertiger Qualitätsdruck glänzend,500,44.13,330.975,1.6,530
250g,standard,Gloss,250g hochwertiger Qualitätsdruck glänzend,1000,54.44,408.3,1.6,653
250g,standard,Gloss,250g hochwertiger Qualitätsdruck glänzend,1500,82.12,615.9,1.6,985
250g,standard,Gloss,250g hochwertiger Qualitätsdruck glänzend,2000,92.27,692.025,1.6,1107
250g,standard,Gloss,250g hochwertiger Qualitätsdruck glänzend,2500,102.5,768.75,1.6,1230
250g,standard,Gloss,250g hochwertiger Qualitätsdruck glänzend,3000,118.06,885.45,1.6,1417
250g,standard,Gloss,250g hochwertiger Qualitätsdruck glänzend,4000,149.49,1121.175,1.6,1794
250g,standard,Gloss,250g hochwertiger Qualitätsdruck glänzend,5000,180.84,1356.3,1.6,2170
250g,standard,Gloss,250g hochwertiger Qualitätsdruck glänzend,6000,212.99,1597.425,1.6,2556
250g,standard,Gloss,250g hochwertiger Qualitätsdruck glänzend,7000,245.06,1837.95,1.6,2941
250g,standard,Gloss,250g hochwertiger Qualitätsdruck glänzend,8000,276.9,2076.75,1.5,3115
250g,standard,Gloss,250g hochwertiger Qualitätsdruck glänzend,9000,308.72,2315.4,1.5,3473
250g,standard,Gloss,250g hochwertiger Qualitätsdruck glänzend,10000,341.31,2559.825,1.5,3840
250g,standard,Gloss,250g hochwertiger Qualitätsdruck glänzend,15000,504.66,3784.95,1.5,5677
250g,standard,Gloss,250g hochwertiger Qualitätsdruck glänzend,20000,667.94,5009.55,1.4,7013
250g,standard,Matt,250g hochwertiger Qualitätsdruck matt,50,18.43,138.225,1.6,221
250g,standard,Matt,250g hochwertiger Qualitätsdruck matt,100,28.21,211.575,1.6,339
250g,standard,Matt,250g hochwertiger Qualitätsdruck matt,250,34.58,259.35,1.6,415
250g,standard,Matt,250g hochwertiger Qualitätsdruck matt,500,44.46,333.45,1.6,534
250g,standard,Matt,250g hochwertiger Qualitätsdruck matt,1000,53.88,404.1,1.6,647
250g,standard,Matt,250g hochwertiger Qualitätsdruck matt,1500,82.24,616.8,1.6,987
250g,standard,Matt,250g hochwertiger Qualitätsdruck matt,2000,93.03,697.725,1.6,1116
250g,standard,Matt,250g hochwertiger Qualitätsdruck matt,2500,103.3,774.75,1.6,1240
250g,standard,Matt,250g hochwertiger Qualitätsdruck matt,3000,119.22,894.15,1.6,1431
250g,standard,Matt,250g hochwertiger Qualitätsdruck matt,4000,150.66,1129.95,1.6,1808
250g,standard,Matt,250g hochwertiger Qualitätsdruck matt,5000,181.53,1361.475,1.6,2178
250g,standard,Matt,250g hochwertiger Qualitätsdruck matt,6000,213.51,1601.325,1.6,2562
250g,standard,Matt,250g hochwertiger Qualitätsdruck matt,7000,246.02,1845.15,1.6,2952
250g,standard,Matt,250g hochwertiger Qualitätsdruck matt,8000,278.33,2087.475,1.5,3131
250g,standard,Matt,250g hochwertiger Qualitätsdruck matt,9000,311.04,2332.8,1.5,3499
250g,standard,Matt,250g hochwertiger Qualitätsdruck matt,10000,343.44,2575.8,1.5,3864
250g,standard,Matt,250g hochwertiger Qualitätsdruck matt,15000,507.1,3803.25,1.5,5705
250g,standard,Matt,250g hochwertiger Qualitätsdruck matt,20000,671.77,5038.275,1.4,7054
300g,standard,Gloss,300g hochwertiger Qualitätsdruck glänzend,50,34.06,255.45,1.6,409
300g,standard,Gloss,300g hochwertiger Qualitätsdruck glänzend,100,46.31,347.325,1.6,556
300g,standard,Gloss,300g hochwertiger Qualitätsdruck glänzend,250,75.3,564.75,1.6,904
300g,standard,Gloss,300g hochwertiger Qualitätsdruck glänzend,500,96.96,727.2,1.6,1164
300g,standard,Gloss,300g hochwertiger Qualitätsdruck glänzend,1000,117.31,879.825,1.6,1408
300g,standard,Gloss,300g hochwertiger Qualitätsdruck glänzend,2500,190.93,1431.975,1.6,2291
300g,standard,Gloss,300g hochwertiger Qualitätsdruck glänzend,5000,304.32,2282.4,1.5,3424
300g,standard,Gloss,300g hochwertiger Qualitätsdruck glänzend,10000,564.26,4231.95,1.5,6348
300g,standard,Gloss,300g hochwertiger Qualitätsdruck glänzend,20000,1011.2,7584,1.4,10618
300g,standard,Matt,300g hochwertiger Qualitätsdruck matt,50,23.38,175.35,1.6,281
300g,standard,Matt,300g hochwertiger Qualitätsdruck matt,100,33.89,254.175,1.6,407
300g,standard,Matt,300g hochwertiger Qualitätsdruck matt,250,40.66,304.95,1.6,488
300g,standard,Matt,300g hochwertiger Qualitätsdruck matt,500,51.58,386.85,1.6,619
300g,standard,Matt,300g hochwertiger Qualitätsdruck matt,1000,72.49,543.675,1.6,870
300g,standard,Matt,300g hochwertiger Qualitätsdruck matt,2500,143.56,1076.7,1.6,1723
300g,standard,Matt,300g hochwertiger Qualitätsdruck matt,5000,278.41,2088.075,1.5,3132
300g,standard,Matt,300g hochwertiger Qualitätsdruck matt,10000,563.43,4225.725,1.5,6339
300g,standard,Matt,300g hochwertiger Qualitätsdruck matt,20000,965.06,7237.95,1.4,10133
90g,standard,Matt,90g hochwertiger Qualitätsdruck matt,50,8.98,67.35,1.6,108
90g,standard,Matt,90g hochwertiger Qualitätsdruck matt,100,15.11,113.325,1.6,181
90g,standard,Matt,90g hochwertiger Qualitätsdruck matt,250,38.24,286.8,1.6,459
90g,standard,Matt,90g hochwertiger Qualitätsdruck matt,500,41.09,308.175,1.6,493
90g,standard,Matt,90g hochwertiger Qualitätsdruck matt,1000,43.01,322.575,1.6,516
90g,standard,Matt,90g hochwertiger Qualitätsdruck matt,1500,57.36,430.2,1.6,688
90g,standard,Matt,90g hochwertiger Qualitätsdruck matt,2000,62.81,471.075,1.6,754
90g,standard,Matt,90g hochwertiger Qualitätsdruck matt,2500,66.34,497.55,1.6,796
90g,standard,Matt,90g hochwertiger Qualitätsdruck matt,3000,72.91,546.825,1.6,875
90g,standard,Matt,90g hochwertiger Qualitätsdruck matt,4000,86.05,645.375,1.6,1033
90g,standard,Matt,90g hochwertiger Qualitätsdruck matt,5000,99.23,744.225,1.6,1191
90g,standard,Matt,90g hochwertiger Qualitätsdruck matt,6000,117.3,879.75,1.6,1408
90g,standard,Matt,90g hochwertiger Qualitätsdruck matt,7000,132.04,990.3,1.6,1584
90g,standard,Matt,90g hochwertiger Qualitätsdruck matt,8000,147.21,1104.075,1.6,1767
90g,standard,Matt,90g hochwertiger Qualitätsdruck matt,9000,162.09,1215.675,1.6,1945
90g,standard,Matt,90g hochwertiger Qualitätsdruck matt,10000,176.94,1327.05,1.6,2123
90g,standard,Matt,90g hochwertiger Qualitätsdruck matt,15000,253.8,1903.5,1.6,3046
90g,standard,Matt,90g hochwertiger Qualitätsdruck matt,20000,337.69,2532.675,1.5,3799
Recycling 135g,recycling,Matt,Recycling: 135g Qualitätsdruck auf hochwertigem Recyclingpapier weiß,50,28.27,212.025,1.6,339
Recycling 135g,recycling,Matt,Recycling: 135g Qualitätsdruck auf hochwertigem Recyclingpapier weiß,100,36.14,271.05,1.6,434
